	Iozone: Performance Test of File I/O
	        Version $Revision: 3.398 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri Mar  2 14:50:19 2012

	Auto Mode
	Command line used: ./iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           65536    4096 1126628 1532575  2912835  2528873 2994416 2192711 2057379  2216385  2130905  1547702  1457420 1980419  2059985
           65536    8192 1052991 1638442  2437102  2867708 2853212 2129601 2011976  2149283  2031185  1814941  1675208 2049663  2101596
           65536   16384 1041808 1559451  2369518  2407560 2380620 1867874 1764324  2148091  2247923  1809040  1624633 1788500  1792653
          131072      64 1382543 1974358  2908179  3156145 4379414 2779593 3388705  6346401  3832177  2045185  1832795 3194605  3572399
          131072     128 1370515 2155365  2769678  3279758 3949854 2596570 3116162  6377026  3666656  2110186  1818578 2984951  3926664
          131072     256 1388988 2064323  3740323  3283872 4396013 2747833 3093733  5266273  3681290  2180395  1841161 2614786  3100101
          131072     512 1285107 1969231  2701399  3287230 3467423 2352462 2583659  2493237  2552767  1542837  1724855 2905228  2691796
          131072    1024 1271582 1894952  3565217  3665825 3712664 2603986 2770209  3155095  2683269  1824856  1516213 2818873  2621382
          131072    2048 1264769 1905336  3055220  2948957 2630060 2133194 2463937  2429421  2775594  1520629  1499096 2677506  3101412
          131072    4096 1191769 1805403  2391825  2726573 2621644 1994486 2046845  2052776  2383343  1504449  1693240 2416213  2442275
          131072    8192 1145905 1746161  2325947  2855417 2882606 2164940 2292074  2173559  2403054  1874733  1811262 2455222  2491429
          131072   16384 1307072 1878358  2335562  2713425 2610428 1974933 2308018  1919680  2434790  1766375  1776208 2444230  2393272
          262144      64 1404294 2323336  3610854  3504544 4011881 2358410 3376880  4711092  3507697  2033023  2032752 3678947  4259661
          262144     128 1547978 2143310  3201953  3660770 3227935 2469492 3800727  6221392  3867627  2051397  2124480 4032614  4108514
          262144     256 1467434 2038776  3472063  3543875 3485127 2272517 3719985  3938039  3666348  1883867  1889257 3524676  3974524
          262144     512 1475446 2078197  3140916  3302265 3125905 2366858 3239986  2796445  3066688  1650343  1801415 2930157  3242911
          262144    1024 1380212 2045679  2791228  3087528 2926039 2144799 3017520  3026158  3280079  1830076  1499909 2988584  3281969
          262144    2048 1397653 2128568  3077642  3146344 2969736 2051638 3125452  2260310  3088144  1519596  1538693 3051344  3053691
          262144    4096 1145459 1562379  2335943  2078197 2160086 1803809 2116025  1481548  2049473   912935  1354861 2193233  2251631

